,Team,Country,Rank,G,W,D,L,GF,GA,GD,Pts,AvgPts,Season
0, Barcelona,es ESP,1,38,30,4,4,110,21,+89,94,2.47,2014-2015
1, Real Madrid,es ESP,2,38,30,2,6,118,38,+80,92,2.42,2014-2015
2, Bayern Munich,de GER,1,34,25,4,5,80,18,+62,79,2.32,2014-2015
3, Chelsea,eng ENG,1,38,26,9,3,73,32,+41,87,2.29,2014-2015
4, Juventus,it ITA,1,38,26,9,3,72,24,+48,87,2.29,2014-2015
5, Paris S-G,fr FRA,1,38,24,11,3,83,36,+47,83,2.18,2014-2015
6, Manchester City,eng ENG,2,38,24,7,7,83,38,+45,79,2.08,2014-2015
7, Atlético Madrid,es ESP,3,38,23,9,6,67,29,+38,78,2.05,2014-2015
8, Wolfsburg,de GER,2,34,20,9,5,72,38,+34,69,2.03,2014-2015
9, Valencia,es ESP,4,38,22,11,5,70,32,+38,77,2.03,2014-2015
10, Sevilla,es ESP,5,38,23,7,8,71,45,+26,76,2.00,2014-2015
11, Arsenal,eng ENG,3,38,22,9,7,71,36,+35,75,1.97,2014-2015
12, Lyon,fr FRA,2,38,22,9,7,72,33,+39,75,1.97,2014-2015
13, M'gladbach,de GER,3,34,19,9,6,53,26,+27,66,1.94,2014-2015
14, Monaco,fr FRA,3,38,20,11,7,51,26,+25,71,1.87,2014-2015
15, Manchester Utd,eng ENG,4,38,20,10,8,62,37,+25,70,1.84,2014-2015
16, Roma,it ITA,2,38,19,13,6,54,31,+23,70,1.84,2014-2015
17, Marseille,fr FRA,4,38,21,6,11,76,42,+34,69,1.82,2014-2015
18, Saint-Étienne,fr FRA,5,38,19,12,7,51,30,+21,69,1.82,2014-2015
19, Lazio,it ITA,3,38,21,6,11,71,38,+33,69,1.82,2014-2015
20, Leverkusen,de GER,4,34,17,10,7,62,37,+25,61,1.79,2014-2015
21, Tottenham,eng ENG,5,38,19,7,12,58,53,+5,64,1.68,2014-2015
22, Fiorentina,it ITA,4,38,18,10,10,61,46,+15,64,1.68,2014-2015
23, Bordeaux,fr FRA,6,38,17,12,9,47,44,+3,63,1.66,2014-2015
24, Napoli,it ITA,5,38,18,9,11,70,54,+16,63,1.66,2014-2015
25, Liverpool,eng ENG,6,38,18,8,12,52,48,+4,62,1.63,2014-2015
26, Southampton,eng ENG,7,38,18,6,14,54,33,+21,60,1.58,2014-2015
27, Villarreal,es ESP,6,38,16,12,10,48,37,+11,60,1.58,2014-2015
28, Genoa,it ITA,6,38,16,11,11,62,47,+15,59,1.55,2014-2015
29, Swansea City,eng ENG,8,38,16,8,14,46,49,-3,56,1.47,2014-2015
30, Montpellier,fr FRA,7,38,16,8,14,46,39,+7,56,1.47,2014-2015
31, Lille,fr FRA,8,38,16,8,14,43,42,+1,56,1.47,2014-2015
32, Sampdoria,it ITA,7,38,13,17,8,48,42,+6,56,1.47,2014-2015
33, Inter,it ITA,8,38,14,13,11,59,48,+11,55,1.45,2014-2015
34, Athletic Club,es ESP,7,38,15,10,13,42,41,+1,55,1.45,2014-2015
35, Augsburg,de GER,5,34,15,4,15,43,43,0,49,1.44,2014-2015
36, Stoke City,eng ENG,9,38,15,9,14,48,45,+3,54,1.42,2014-2015
37, Torino,it ITA,9,38,14,12,12,48,45,+3,54,1.42,2014-2015
38, Schalke 04,de GER,6,34,13,9,12,42,40,+2,48,1.41,2014-2015
39, Milan,it ITA,10,38,13,13,12,56,50,+6,52,1.37,2014-2015
40, Dortmund,de GER,7,34,13,7,14,47,42,+5,46,1.35,2014-2015
41, Celta Vigo,es ESP,8,38,13,12,13,47,44,+3,51,1.34,2014-2015
42, Rennes,fr FRA,9,38,13,11,14,35,42,-7,50,1.32,2014-2015
43, Málaga,es ESP,9,38,14,8,16,42,48,-6,50,1.32,2014-2015
44, Guingamp,fr FRA,10,38,15,4,19,41,55,-14,49,1.29,2014-2015
45, Hoffenheim,de GER,8,34,12,8,14,49,55,-6,44,1.29,2014-2015
46, Palermo,it ITA,11,38,12,13,13,53,55,-2,49,1.29,2014-2015
47, Sassuolo,it ITA,12,38,12,13,13,49,57,-8,49,1.29,2014-2015
48, Espanyol,es ESP,10,38,13,10,15,47,51,-4,49,1.29,2014-2015
49, Rayo Vallecano,es ESP,11,38,15,4,19,46,68,-22,49,1.29,2014-2015
50, Crystal Palace,eng ENG,10,38,13,9,16,47,51,-4,48,1.26,2014-2015
51, Nice,fr FRA,11,38,13,9,16,44,53,-9,48,1.26,2014-2015
52, Werder Bremen,de GER,10,34,11,10,13,50,65,-15,43,1.26,2014-2015
53, Eint Frankfurt,de GER,9,34,11,10,13,56,62,-6,43,1.26,2014-2015
54, Everton,eng ENG,11,38,12,11,15,48,50,-2,47,1.24,2014-2015
55, West Ham,eng ENG,12,38,12,11,15,44,47,-3,47,1.24,2014-2015
56, Bastia,fr FRA,12,38,12,11,15,37,46,-9,47,1.24,2014-2015
57, Caen,fr FRA,13,38,12,10,16,54,55,-1,46,1.21,2014-2015
58, Hellas Verona,it ITA,13,38,11,13,14,49,65,-16,46,1.21,2014-2015
59, Real Sociedad,es ESP,12,38,11,13,14,44,51,-7,46,1.21,2014-2015
60, Nantes,fr FRA,14,38,11,12,15,29,40,-11,45,1.18,2014-2015
61, Mainz 05,de GER,11,34,9,13,12,45,47,-2,40,1.18,2014-2015
62, Köln,de GER,12,34,9,13,12,34,40,-6,40,1.18,2014-2015
63, West Brom,eng ENG,13,38,11,11,16,38,51,-13,44,1.16,2014-2015
64, Reims,fr FRA,15,38,12,8,18,47,66,-19,44,1.16,2014-2015
65, Lorient,fr FRA,16,38,12,7,19,44,50,-6,43,1.13,2014-2015
66, Chievo,it ITA,14,38,10,13,15,28,41,-13,43,1.13,2014-2015
67, Toulouse,fr FRA,17,38,12,6,20,43,64,-21,42,1.11,2014-2015
68, Empoli,it ITA,15,38,8,18,12,46,52,-6,42,1.11,2014-2015
69, Hannover 96,de GER,13,34,9,10,15,40,56,-16,37,1.09,2014-2015
70, Leicester City,eng ENG,14,38,11,8,19,46,55,-9,41,1.08,2014-2015
71, Udinese,it ITA,16,38,10,11,17,43,56,-13,41,1.08,2014-2015
72, Elche,es ESP,13,38,11,8,19,35,62,-27,41,1.08,2014-2015
73, Stuttgart,de GER,14,34,9,9,16,42,60,-18,36,1.06,2014-2015
74, Newcastle Utd,eng ENG,15,38,10,9,19,40,63,-23,39,1.03,2014-2015
75, Hertha BSC,de GER,15,34,9,8,17,36,52,-16,35,1.03,2014-2015
76, Hamburger SV,de GER,16,34,9,8,17,25,50,-25,35,1.03,2014-2015
77, Sunderland,eng ENG,16,38,7,17,14,31,53,-22,38,1.00,2014-2015
78, Aston Villa,eng ENG,17,38,10,8,20,31,57,-26,38,1.00,2014-2015
79, Freiburg,de GER,17,34,7,13,14,36,47,-11,34,1.00,2014-2015
80, Evian,fr FRA,18,38,11,4,23,41,62,-21,37,0.97,2014-2015
81, Atalanta,it ITA,17,38,7,16,15,38,57,-19,37,0.97,2014-2015
82, Levante,es ESP,14,38,9,10,19,34,67,-33,37,0.97,2014-2015
83, Getafe,es ESP,15,38,10,7,21,33,64,-31,37,0.97,2014-2015
84, Hull City,eng ENG,18,38,8,11,19,33,51,-18,35,0.92,2014-2015
85, La Coruña,es ESP,16,38,7,14,17,35,60,-25,35,0.92,2014-2015
86, Granada,es ESP,17,38,7,14,17,29,64,-35,35,0.92,2014-2015
87, Eibar,es ESP,18,38,9,8,21,34,55,-21,35,0.92,2014-2015
88, Paderborn 07,de GER,18,34,7,10,17,31,65,-34,31,0.91,2014-2015
89, Cagliari,it ITA,18,38,8,10,20,48,68,-20,34,0.89,2014-2015
90, Burnley,eng ENG,19,38,7,12,19,28,53,-25,33,0.87,2014-2015
91, QPR,eng ENG,20,38,8,6,24,42,73,-31,30,0.79,2014-2015
