"","x"
"1","W"
"2","W"
"3","W"
"4","W"
"5","W"
"6","W"
"7","L"
"8","W"
"9","W"
"10","W"
"11","W"
"12","W"
"13","W"
"14","W"
"15","W"
"16","W"
"17","W"
"18","W"
"19","L"
"20","W"
"21","W"
"22","W"
"23","W"
"24","W"
"25","W"
"26","W"
"27","W"
"28","W"
"29","D"
"30","W"
"31","L"
"32","W"
"33","W"
"34","W"
"35","W"
"36","W"
"37","W"
"38","W"
"39","W"
"40","W"
"41","W"
"42","D"
"43","W"
"44","W"
"45","W"
"46","D"
"47","L"
"48","W"
"49","W"
"50","W"
"51","W"
"52","W"
"53","W"
"54","D"
"55","D"
"56","W"
"57","W"
"58","W"
"59","W"
"60","W"
"61","W"
"62","W"
"63","W"
"64","W"
"65","W"
"66","W"
"67","W"
"68","W"
"69","D"
"70","W"
"71","W"
"72","W"
"73","W"
"74","L"
"75","W"
"76","W"
"77","W"
"78","L"
"79","L"
"80","W"
"81","W"
"82","W"
"83","W"
"84","D"
"85","W"
"86","W"
"87","W"
"88","W"
"89","W"
"90","W"
"91","W"
"92","W"
"93","W"
"94","W"
"95","W"
"96","W"
"97","L"
"98","W"
"99","D"
"100","W"
"101","D"
"102","W"
"103","D"
"104","D"
"105","W"
"106","W"
"107","W"
"108","D"
"109","W"
"110","W"
"111","W"
"112","W"
"113","W"
"114","W"
"115","W"
"116","W"
"117","W"
"118","D"
"119","D"
"120","D"
"121","W"
"122","W"
"123","W"
"124","W"
"125","W"
"126","W"
"127","L"
"128","W"
"129","W"
"130","W"
"131","W"
"132","W"
"133","W"
"134","W"
"135","D"
"136","W"
"137","W"
"138","L"
"139","W"
"140","W"
"141","D"
"142","W"
"143","D"
"144","W"
"145","W"
"146","W"
"147","W"
"148","W"
"149","W"
"150","D"
"151","W"
"152","W"
"153","W"
"154","W"
"155","D"
"156","D"
"157","W"
"158","W"
"159","W"
"160","W"
"161","W"
"162","L"
"163","W"
"164","W"
"165","W"
"166","W"
"167","W"
"168","L"
"169","D"
"170","W"
"171","D"
"172","W"
"173","L"
"174","W"
"175","L"
"176","W"
"177","W"
"178","W"
"179","W"
"180","D"
"181","W"
"182","W"
"183","L"
"184","L"
"185","D"
"186","W"
"187","L"
"188","W"
"189","W"
"190","W"
"191","W"
"192","W"
"193","W"
"194","W"
"195","D"
"196","W"
"197","W"
"198","W"
"199","W"
"200","W"
"201","W"
"202","W"
"203","W"
"204","L"
"205","D"
"206","W"
"207","W"
"208","W"
"209","W"
"210","L"
"211","W"
"212","W"
"213","D"
"214","W"
"215","W"
"216","W"
"217","D"
"218","W"
"219","D"
"220","L"
"221","D"
"222","W"
"223","W"
"224","D"
"225","W"
"226","W"
"227","W"
"228","W"
"229","W"
"230","L"
"231","W"
"232","D"
"233","W"
"234","W"
"235","W"
"236","W"
"237","W"
"238","W"
"239","W"
"240","W"
"241","W"
"242","L"
"243","D"
"244","D"
"245","W"
"246","W"
"247","W"
"248","W"
"249","W"
"250","W"
"251","D"
"252","L"
"253","W"
"254","D"
"255","W"
"256","W"
"257","W"
"258","W"
"259","W"
"260","W"
"261","W"
"262","D"
